slice,name,structure,cation,theoretical m/z_x,theoretical m/z_y,min,max,num_pixels,mz_estimated
46,Cer,40:1,H1,622.61328,622.61328,622.6116000000001,622.6145,16798.0,622.6132
46,Cer,38:4,k,626.490911,626.490911,626.4904,626.4909,85.0,626.4906000000001
47,LPC,16:0,H1,496.33975,496.33975,496.3387,496.3408,110967.0,496.3397000000001
47,Cer,36:1,k,604.506541,604.506541,604.5051000000001,604.5079000000001,11275.0,604.5065000000001
47,Cer,40:2,H1,620.5976,620.5976,620.5963,620.5986,31499.0,620.5974
47,Cer,40:1,H1,622.61328,622.61328,622.6120000000001,622.6141,2418.0,622.613
47,Cer,38:4,k,626.490911,626.490911,626.49,626.4911000000001,338.0,626.4907000000001
48,LPC,16:0,H1,496.33975,496.33975,496.3388000000001,496.3408,104683.0,496.3397000000001
48,Cer,36:1,k,604.506541,604.506541,604.5053,604.5081,8114.0,604.5065000000001
48,Cer,40:2,H1,620.5976,620.5976,620.5964,620.5987,18412.0,620.5975000000001
48,Cer,40:1,H1,622.61328,622.61328,622.6125000000001,622.6139000000001,591.0,622.6132
49,LPC,16:0,H1,496.33975,496.33975,496.3387,496.3408,100254.0,496.3397000000001
49,Cer,36:1,k,604.506541,604.506541,604.5054,604.5091,6965.0,604.5067
49,Cer,40:2,H1,620.5976,620.5976,620.5965,620.5987,11739.0,620.5975000000001
49,Cer,40:1,H1,622.61328,622.61328,622.6126,622.6139000000001,357.0,622.6132
49,Cer,38:4,k,626.490911,626.490911,626.4906000000001,626.491,72.0,626.4906000000001
50,LPC,16:0,H1,496.33975,496.33975,496.3386,496.3408,80276.0,496.3397000000001
50,Cer,36:1,k,604.506541,604.506541,604.5053,604.5089,6772.0,604.5067
50,Cer,40:2,H1,620.5976,620.5976,620.5963,620.5989000000001,20537.0,620.5975000000001
50,Cer,40:1,H1,622.61328,622.61328,622.6121,622.6142,1838.0,622.6132
50,Cer,38:4,k,626.490911,626.490911,626.4904,626.4909,55.0,626.4906000000001
51,LPC,16:0,H1,496.33975,496.33975,496.3388000000001,496.3408,85545.0,496.3398
51,Cer,36:1,k,604.506541,604.506541,604.5053,604.508,4263.0,604.5064
51,Cer,40:2,H1,620.5976,620.5976,620.5964,620.5987,21200.0,620.5975000000001
51,Cer,40:1,H1,622.61328,622.61328,622.6122,622.6141,1642.0,622.6132
51,Cer,38:4,k,626.490911,626.490911,626.4903,626.491,143.0,626.4907000000001
52,LPC,16:0,H1,496.33975,496.33975,496.3385,496.341,63520.0,496.3399
52,Cer,36:1,k,604.506541,604.506541,604.5054,604.5079000000001,3157.0,604.5065000000001
52,Cer,40:2,H1,620.5976,620.5976,620.5961,620.5989000000001,24943.0,620.5975000000001
52,Cer,40:1,H1,622.61328,622.61328,622.6119,622.6143000000001,2510.0,622.613
53,LPC,16:0,H1,496.33975,496.33975,496.3386,496.3408,62519.0,496.3397000000001
53,Cer,36:1,k,604.506541,604.506541,604.5053,604.5079000000001,3479.0,604.5065000000001
53,Cer,40:2,H1,620.5976,620.5976,620.5962000000001,620.5988,32003.0,620.5975000000001
53,Cer,40:1,H1,622.61328,622.61328,622.6118,622.6143000000001,6540.0,622.6132
54,LPC,16:0,H1,496.33975,496.33975,496.3387,496.3408,72939.0,496.3398
54,Cer,36:1,k,604.506541,604.506541,604.5053,604.5079000000001,5337.0,604.5065000000001
54,Cer,40:2,H1,620.5976,620.5976,620.5963,620.5987,31283.0,620.5975000000001
54,Cer,40:1,H1,622.61328,622.61328,622.6119,622.6143000000001,6238.0,622.6132
55,LPC,16:0,H1,496.33975,496.33975,496.3387,496.3409,78675.0,496.3398
